Symbol,cluster,Cluster_name
KDP,0,Lower-vol
KEY,1,Higher-vol
KEYS,0,Lower-vol
KHC,0,Lower-vol
KIM,0,Lower-vol
KKR,0,Lower-vol
KLAC,0,Lower-vol
KMB,0,Lower-vol
KMI,0,Lower-vol
KO,0,Lower-vol
KR,0,Lower-vol
KVUE,0,Lower-vol
L,0,Lower-vol
LDOS,0,Lower-vol
LEN,0,Lower-vol
LH,0,Lower-vol
LHX,0,Lower-vol
LII,0,Lower-vol
LIN,0,Lower-vol
LLY,0,Lower-vol
LMT,0,Lower-vol
LNT,0,Lower-vol
LOW,0,Lower-vol
LRCX,0,Lower-vol
LULU,0,Lower-vol
LUV,0,Lower-vol
LVS,1,Higher-vol
LW,0,Lower-vol
LYB,0,Lower-vol
LYV,0,Lower-vol
MA,0,Lower-vol
MAA,0,Lower-vol
MAR,0,Lower-vol
MAS,0,Lower-vol
MCD,0,Lower-vol
MCHP,0,Lower-vol
MCK,0,Lower-vol
MCO,0,Lower-vol
MDLZ,0,Lower-vol
MDT,0,Lower-vol
MET,0,Lower-vol
META,1,Higher-vol
MGM,0,Lower-vol
MKC,0,Lower-vol
MLM,0,Lower-vol
MMM,0,Lower-vol
MNST,0,Lower-vol
MO,0,Lower-vol
MOH,0,Lower-vol
MOS,1,Higher-vol
MPC,0,Lower-vol
MPWR,1,Higher-vol
MRK,0,Lower-vol
MRNA,1,Higher-vol
MRSH,0,Lower-vol
MS,0,Lower-vol
MSCI,0,Lower-vol
MSFT,0,Lower-vol
MSI,0,Lower-vol
MTB,0,Lower-vol
MTCH,1,Higher-vol
MTD,0,Lower-vol
MU,0,Lower-vol
NCLH,1,Higher-vol
NDAQ,0,Lower-vol
NDSN,0,Lower-vol
NEE,0,Lower-vol
NEM,0,Lower-vol
NFLX,1,Higher-vol
NI,0,Lower-vol
NKE,0,Lower-vol
NOC,0,Lower-vol
NOW,0,Lower-vol
NRG,0,Lower-vol
NSC,0,Lower-vol
NTAP,0,Lower-vol
NTRS,0,Lower-vol
NUE,0,Lower-vol
NVDA,1,Higher-vol
NVR,0,Lower-vol
NWS,0,Lower-vol
NWSA,0,Lower-vol
NXPI,0,Lower-vol
O,0,Lower-vol
ODFL,0,Lower-vol
OKE,0,Lower-vol
OMC,0,Lower-vol
ON,1,Higher-vol
ORCL,0,Lower-vol
ORLY,0,Lower-vol
OTIS,0,Lower-vol
OXY,0,Lower-vol
PANW,1,Higher-vol
PAYC,1,Higher-vol
PAYX,0,Lower-vol
PCAR,0,Lower-vol
PCG,0,Lower-vol
PEG,0,Lower-vol
PEP,0,Lower-vol
PFE,0,Lower-vol
PFG,0,Lower-vol
PG,0,Lower-vol
PGR,0,Lower-vol
PH,0,Lower-vol
PHM,0,Lower-vol
PKG,0,Lower-vol
PLD,0,Lower-vol
PLTR,1,Higher-vol
PM,0,Lower-vol
PNC,0,Lower-vol
PNR,0,Lower-vol
PNW,0,Lower-vol
PODD,1,Higher-vol
POOL,0,Lower-vol
PPG,0,Lower-vol
PPL,0,Lower-vol
PRU,0,Lower-vol
PSA,0,Lower-vol
PSKY,1,Higher-vol
PSX,0,Lower-vol
PTC,0,Lower-vol
PWR,0,Lower-vol
PYPL,1,Higher-vol
QCOM,0,Lower-vol
RCL,1,Higher-vol
REG,0,Lower-vol
REGN,0,Lower-vol
RF,0,Lower-vol
RJF,0,Lower-vol
RL,0,Lower-vol
RMD,0,Lower-vol
ROK,0,Lower-vol
ROL,0,Lower-vol
ROP,0,Lower-vol
ROST,0,Lower-vol
RSG,0,Lower-vol
RTX,0,Lower-vol
RVTY,0,Lower-vol
SBAC,0,Lower-vol
SBUX,0,Lower-vol
SCHW,0,Lower-vol
SHW,0,Lower-vol
SJM,0,Lower-vol
SLB,0,Lower-vol
SMCI,1,Higher-vol
SNA,0,Lower-vol
SNPS,0,Lower-vol
SO,0,Lower-vol
SPG,0,Lower-vol
SPGI,0,Lower-vol
SRE,0,Lower-vol
STE,0,Lower-vol
STLD,0,Lower-vol
STT,0,Lower-vol
STX,0,Lower-vol
STZ,0,Lower-vol
SW,1,Higher-vol
SWK,0,Lower-vol
SWKS,0,Lower-vol
SYF,0,Lower-vol
SYK,0,Lower-vol
SYY,0,Lower-vol
T,0,Lower-vol
TAP,0,Lower-vol
TDG,0,Lower-vol
TDY,0,Lower-vol
